id,year,Title,Authors
9909143,1999,IIB-Branes and New Spacetime Superalgebras,Makoto Sakaguchi
9909144,1999,Gauged N=2 Off-Shell Supergravity in Five Dimensions,Max Zucker (Bonn U.)
9909145,1999,Boundary breathers in the sinh-Gordon model,E. Corrigan and G.W. Delius
9909146,1999,Topological String on AdS_3 x N,Yuji Sugawara
9909147,1999,Conformal maps and dispersionless integrable hierarchies,P.B.Wiegmann and A. Zabrodin
9909148,1999,Radiation from Accelerated Branes,Mohab Abou-Zeid and Miguel S. Costa
9909149,1999,Interacting strings on AdS_3,Gast\'on Giribet and Carmen N\'u\~nez
9909150,1999,On Discrete U-duality in M-theory,"Shun'ya Mizoguchi, Germar Schroeder"
9909151,1999,Gauge fields in a discrete approach,Manoelito M. de Souza
9909152,1999,Dynamical truncation of the string spectrum at finite N,Gilad Lifschytz and Vipul Periwal
9909153,1999,The Exact Quantum Sine-Gordon Field Equation and Other Non-Perturbative Results,"H. Babujian, and M. Karowski"
9909154,1999,On the non-abelian Born-Infeld action,P. Bain
9909155,1999,Induced charge matching and Wess-Zumino term on quantum modified moduli space,"S.L. Dubovsky, D.S. Gorbunov"
9909156,1999,Confining Properties of Abelian-Projected Theories and Field Strength Correlators,"Dmitri Antonov (ITEP, Moscow) and Dietmar Ebert (CERN, Geneva and Humboldt University, Berlin)"
9909157,1999,Discrete U-duality Groups,Germar Schroeder
9909158,1999,An Essay on Color Confinement,Masud Chaichian and Kazuhiko Nishijima
9909159,1999,The Goto-Imamura-Schwinger Term and Renormalization Group,Masud Chaichian and Kazuhiko Nishijima
9909160,1999,Static Axially Symmetric Einstein-Yang-Mills-dilaton solutions: Addendum Asymptotic solutions,"B. Kleihaus (1) and Jutta Kunz (2) ((1) NUI Maynooth, Ireland, (2) University Oldenburg, Germany)"
9909161,1999,Eichler integrals and String Theory,L. Sandoval Jr
9909162,1999,Sewing string tree vertices with ghosts,L. Sandoval Jr
9909163,1999,D-branes in group manifolds,S Stanciu
9909164,1999,More D-branes in the Nappi-Witten background,JM Figueroa-O'Farrill and S Stanciu
9909165,1999,Effective Couplings of Dynamical Nambu-Goldstone Bosons with Elementary Fermions,"T. Matsuki (Tokyo Kasei U.), M. Shiotani (Kobe U.)"
9909166,1999,Remarks on Topological SUSY in sixdimensional TQFTs,"H. Ita, K. Landsteiner, T. Pisar, J. Rant, M. Schweda"
9909167,1999,Branes with Background Fields in Boundary State Formalism,"H. Arfaei, D. Kamani"
9909168,1999,On the constraints defining BPS monopoles,"C. J. Houghton, N. S. Manton, N. M. Rom\~ao (DAMTP, University of Cambridge)"
9909169,1999,Spins and charges in Grassmann space and Kahler spinors in space of differential forms,Norma Mankoc Borstnik and Holger Bech Nielsen
9909170,1999,Parametric holomorphy? Triviality versus Duality in Sinh-Gordon,M. Niedermaier
9909171,1999,High Energy Scattering on Distant Branes,C. Bachas (ENS) and B. Pioline (Ecole Polytechnique)
9909172,1999,Standard-like Models with Broken Supersymmetry from Type I String Vacua,"G. Aldazabal, L.E.Ibanez, F. Quevedo"
9909173,1999,Bosonic Field Propagators on Algebraic Curves,Franco Ferrari and Jan Sobczyk
9909174,1999,Aspects of classical backgrounds and scattering for affine Toda theory on a half-line,P. Bowcock and M. Perkins
9909175,1999,A Non-perturbative Solution of the Zero-Dimensional lambda phi^4 Field Theory,"A.P.C. Malbouisson, R. Portugal, and N.F. Svaiter"
9909176,1999,A Relation between Commutative and Noncommutative Descriptions of D-branes,N. Ishibashi (KEK)
9909177,1999,Exact low-energy effective actions for hypermultiplets in four dimensions,"Sergei V. Ketov (YITP, Kyoto-U., and ITP, U. of Hannover)"
9909178,1999,Map of Heterotic and Type IIB Moduli in 8 Dimensions,"M. C. Daflon Barrozo (DAMTP, University of Cambridge)"
9909179,1999,Three Point Functions for a Class of Chiral Operators in Maximally Supersymmetric CFT at Large N,"Fiorenzo Bastianelli, Roberto Zucchini"
9909180,1999,(Generalized) Conformal Quantum Mechanics of 0-Branes and Two-Dimensional Dilaton Gravity,Donam Youm
9909181,1999,Phase Transition Couplings in the Higgsed Monopole Model,"L. V. Laperashvili (ITEP, Moscow, Russia), H. B. Nielsen (NBI, Copenhagen, Denmark)"
9909182,1999,Testing Stability of M-Theory on an S^1/Z_2 Orbifold,"Axel Krause (Humboldt U., Berlin)"
9909183,1999,On Holomorphic Effective Actions of Hypermultiplets Coupled to External Gauge Superfields,I.L. Buchbinder and I.B. Samsonov
9909184,1999,"Supercharges, Killing Spinors and Intersecting Gauge Five-branes","E. Lima, H. Lu, B.A. Ovrut and C.N. Pope"
9909185,1999,Dimensionally continued multi-loop gauge theory,D. J. Broadhurst
9909186,1999,The Hadamard Function and the Feynman Propagator in the AdS/CFT Correspondence,Shijong Ryang
9909187,1999,Constant field strengths on T^{2n},J. Troost
9909188,1999,The structure of N=3 multiplets in AdS_4 and the complete Osp(3|4) X SU(3) spectrum of M-theory on AdS_4 X N^{010},"Pietro Fre', Leonardo Gualtieri and Piet Termonia"
9909189,1999,Hopf instantons in Chern-Simons theory,"C. Adam, B. Muratori, C. Nash"
9909190,1999,Consistent Batalin--Fradkin quantization of Infinitely Reducible First Class Constraints,"Stefano Bellucci and Anton Galajinsky (INFN, Frascati)"
9909191,1999,Zero Energy States for SU(N): A Simple Exercise in Group Theory ?,"M. Bordemann, J. Hoppe, R. Suter"
9909192,1999,Physical auxiliary field in supersymmetric QCD with explicit supersymmetry breaking,Noriaki Kitazawa
9909193,1999,"New ""Electric"" Description of Supersymmetric Quantum Chromodynamics",Yasuharu Honda and Masaki Yasue
9909194,1999,Remark about Non-BPS D-Brane in Type IIA Theory,J. Kluson
9909195,1999,Branched Polymers Re-Revisited,"J. Ambjorn, B. Durhuus, T. Jonsson"
9909196,1999,Instanton Correction of Prepotential in Ruijsenaars Model Associated with N=2 SU(2) Seiberg-Witten Theory,"Yuji Ohta (Res. Inst. Math. Sci., Kyoto Univ.)"
9909197,1999,How to make the gravitational action on non-compact space finite,Sergey N. Solodukhin
9909198,1999,Destabilizing the gaugino condensate in modular invariant supergravity,Thomas Dent (University of Sussex)
9909199,1999,Warp Factors and Extended Sources in Two Transverse Dimensions,Alan Chodos and Erich Poppitz
9909200,1999,Consistent Perturbative Light Front Formulation of Yang-Mills Theories,"M. Morara, R. Soldati and G. McCartor"
9909201,1999,"Equivalence Principle, Higher Dimensional Moebius Group and the Hidden Antisymmetric Tensor of Quantum Mechanics","Gaetano Bertoldi, Alon E. Faraggi and Marco Matone"
9909202,1999,Monopoles and Dyons in Non-Commutative Geometry,Akikazu Hashimoto and Koji Hashimoto
9909203,1999,"Five-dimensional N=4, SU(2) X U(1) Gauged Supergravity from Type IIB","H. Lu, C.N. Pope and T.A. Tran"
9909204,1999,Self-Adjointness of the Dirac Hamiltonian and Vacuum Quantum Numbers Induced by a Singular External Field,"Yu. A. Sitenko (BITP, Ukraine)"
9909205,1999,Brane-World Black Holes,"A. Chamblin, S.W. Hawking, H.S. Reall"
9909206,1999,Deformation Quantization of Classical Fields,"H. Garcia-Compean, J.F. Plebanski, M. Przanowski and F.J. Turrubiates"
9909207,1999,Regularization of QED by a generalized 't Hooft and Veltman method,Marijan Ribaric and Luka Sustersic
9909208,1999,Color Confinement in QCD due to Topological Defects,Kei-Ichi Kondo
9909209,1999,String Nature of Confinement in (Non-)Abelian Gauge Theories,"Dmitri Antonov (INFN, Pisa)"
9909210,1999,Casimir-Polder energy and dilute dielectric ball : nondispersive case,Valery N. Marachevsky
9909211,1999,Variational approximations for correlation functions in quantum field theories,C\'ecile Martin
9909212,1999,Mass scales in string and M-theory,I. Antoniadis
9909213,1999,On The Size of The Graviton,Nikita A. Nekrasov
9909214,1999,Non-commutative world-volume interactions on D-brane and Dirac-Born-Infeld action,Mohammad R. Garousi
9909215,1999,Supergravity and Large N Noncommutative Field Theories,"Mohsen Alishahiha, Yaron Oz, M.M. Sheikh-Jabbari"
9909216,1999,g-function flow in perturbed boundary conformal field theories,"Patrick Dorey, Ingo Runkel, Roberto Tateo and Gerard Watts"
9909217,1999,Soluble field theory with a massless gauge invariant limit,C.R. Hagen
9909218,1999,Nahm Data and the Mass of 1/4-BPS States,Conor Houghton and Kimyeong Lee
9909219,1999,Compactified Little String Theories and Compact Moduli Spaces of Vacua,Kenneth Intriligator
9909220,1999,Remarks on Defining the DLCQ of Quantum Field Theory as a Light-Like Limit,Adel Bilal (Neuchatel University)
9909221,1999,The Physical Projector and Topological Quantum Field Theories: U(1) Chern-Simons Theory in 2+1 Dimensions,"Jan Govaerts and Bernadette Deschepper (Catholic Univ. Louvain, Belgium)"
9909222,1999,Probing AdS/CFT correspondence via world-sheet methods and 2d gravity like scaling arguments,Oleg Andreev
9909223,1999,Open group transformations within the Sp(2)-formalism,"Igor Batalin, Robert Marnelius"
9909224,1999,Elliptic analog of the Toda lattice,I. M. Krichever (Columbia University and Landau Institute for Theoretical Physics)
9909225,1999,Weak-QES extensions of the Calogero model,"Y. Brihaye, P. Kosinski"
9909226,1999,Monopole and Dyon Solutions in AdS space,Adrian R. Lugo and Fidel A. Schaposnik
9909227,1999,Symmetries and interactions in matrix string theory,Feike Hacquebord
9909228,1999,Superconformal Hypermultiplets,"Bernard de Wit, Bas Kleijn and Stefan Vandoren"
9909229,1999,Heterotic String Conformal Field Theory And A-D-E Singularities,Edward Witten
9910001,1999,Approximations for strongly-coupled supersymmetric quantum mechanics,"Daniel Kabat (IAS), Gilad Lifschytz (Princeton University)"
9910002,1999,Bifurcation of Periodic Instanton in Decay-Rate Transition,"Hyun-Soo Min, Hungsoo Kim, D. K. Park, Soo-Young Lee, Sahng-Kyoon Yoo, and Dal-Ho Yoon"
9910003,1999,Octonionic Yang-Mills Instanton on Quaternionic Line Bundle of Spin(7) Holonomy,H.Kanno and Y.Yasui
9910004,1999,Wilson Loops in Noncommutative Yang Mills,"Nobuyuki Ishibashi, Satoshi Iso, Hikaru Kawai and Yoshihisa Kitazawa"
9910005,1999,Bi-Local Higgs-Like Fields Based on Non-Commutative Geometry,"Shigefumi Naka, Shinji Abe, Eizou Umezawa, Tetsu Matsufuji"
9910006,1999,Statistical Mechanics of Charged Black Holes in Induced Einstein-Maxwell Gravity,V.P. Frolov and D.V. Fursaev
9910007,1999,Gauging Yang-Mills Symmetries In 1+1-Dimensional Spacetime,"Raja Q. Almukahhal, Tristan Hubsch"
9910008,1999,No Eigenvalue in Finite Quantum Electrodynamics,R. Acharya and P. Narayana Swamy
9910009,1999,Asymptotic freedom and Confinement imply spontaneously broken chiral symmetry in Quantum Chromodynamics,R. Acharya and P. Narayana Swamy
9910010,1999,Quaternionic Spin,Tevian Dray and Corinne A. Manogue
9910011,1999,Explicit construction of nilpotent covariants in N=4 SYM,"P.S. Howe, C. Schubert, E. Sokatchev, P.C. West"
9910012,1999,Supersymmetry and DLCQ,"SDLCQ Collaboration: F. Antonuccio, I. Filippov, P. Haney, O. Lunin, S. Pinsky, U. Trittmann (Ohio State University), J. Hiller (University of
 Minnesota-Duluth)"
9910013,1999,Asymptotic Dynamics and Asymptotic Symmetries of Three-Dimensional Extended AdS Supergravity,"Marc Henneaux, Liat Maoz, Adam Schwimmer"
9910014,1999,1+1 Gauge Theories in the Light-Cone Representation,Gary McCartor and Yuji Nakawaki
9910015,1999,Microscopic- versus Effective Coupling in N=2 Yang-Mills With Four Flavours,Ivo Sachs and William Weir
9910016,1999,Non-renormalisation of extremal correlators in N=4 SYM theory,Massimo Bianchi and Stefano Kovacs (Universita` di Roma ``Tor Vergata'')
9910017,1999,Gauge Dependence in the AdS/CFT Correspondence,"H. O. Girotti, Victor O. Rivelles"
9910018,1999,Classical and Quantum Interaction of the Dipole,Jeeva S. Anandan
9910019,1999,On 1/N Corrections to the Entropy of Noncommutative Yang-Mills Theories,J.L.F. Barbon and E. Rabinovici
9910020,1999,"The General, Duality-Invariant Family of Non-BPS Black-Hole Solutions of N=4, d=4 Supergravity",Ernesto Lozano-Tellechea and Tomas Ortin (IFT-UAM/CSIC)
9910021,1999,Supersymmetric Multiple Basin Attractors,"Renata Kallosh, Andrei Linde, and Marina Shmakova"
9910022,1999,The Dynamics of Very Special Black Holes,J. Gutowski and G. Papadopoulos
9910023,1999,Quantum effective action from the AdS/CFT correspondence,Kostas Skenderis and Sergey N. Solodukhin
9910024,1999,Multi-channel Bethe-Salpeter equation,"J. Boguszynski (1), H. D. Dahmen (2), R. Kretschmer (2), L. Lukaszuk (1) ((1) Soltan Institute for Nuclear Studies, Warsaw, Poland, (2) Siegen
 University, Siegen, Germany)"
9910025,1999,Conformal Invariance for Non-Relativistic Field Theory,"Thomas Mehen, Iain W. Stewart, Mark B. Wise"
9910026,1999,Thermodynamics of Fateev's models in the Presence of External Fields,D.Controzzi and A.M.Tsvelik
9910027,1999,Finite temperature gluon self-energy in a class of temporal gauges,"F. T. Brandt, J. Frenkel and F. R. Machado"
9910028,1999,The Geometry of Supersymmetric Quantum Mechanics,C.M. Hull
9910029,1999,Covariant formulation of non-Abelian gauge theories without anticommuting variables,A.A.Slavnov
9910030,1999,Tools for supersymmetry,Antoine Van Proeyen
9910031,1999,A Note on Non-Commutative Orbifold Field Theories,Adi Armoni
9910032,1999,Stochastic Quantization of Bottomless Systems: Stationary quantities in a diffusive process,Kazuya Yuasa and Hiromichi Nakazato (Waseda Univ.)
9910033,1999,Calogero-Moser Models V: Supersymmetry and Quantum Lax Pair,"A.J. Bordner, N.S. Manton and R. Sasaki"
9910034,1999,Relativistic two-body system in (1+1)-dimensions,"Norman Dombey (Univ.Sussex) and Fuad Saradzhev (Inst.Phys.,Baku)"
9910035,1999,On Magnetic Catalysis and Gauge Symmetry Breaking,E. J. Ferrer and V. de la Incera
9910036,1999,Thermodynamics of Spinning Branes and their Dual Field Theories,"T. Harmark (NBI, Nordita) and N.A. Obers (Nordita, NBI)"
9910037,1999,Quantum Anti-de Sitter space and sphere at roots of unity,Harold Steinacker
9910038,1999,Dirac Functional Determinants in Terms of the Eta Invariant and the Noncommutative Residue,"Guido Cognola, Emilio Elizalde, Sergio Zerbini"
9910039,1999,Schwinger terms of the commutator of two interacting currents in the 1+1 dimensions,Tomas Sykora
9910040,1999,Holographic Stress Tensors for Kerr-AdS Black Holes,Adel M. Awad and Clifford V. Johnson
9910041,1999,Black hole p-brane solutions for general intersection rules,V. D. Ivashchuk and V.N. Melnikov
9910042,1999,Superstring Phenomenology - A Personal Perspective,Alon E. Faraggi
9910043,1999,Moving Mixed Branes in Compact Spacetime,Davoud Kamani
9910044,1999,Gravity and instantons,M.Yu. Kuchiev
9910045,1999,"Structure of Spinning Particle Suggested by Gravity, Supergravity and Low Energy String Theory",Alexander Burinskii
9910046,1999,"Chiral Extensions of the WZNW Phase Space, Poisson-Lie Symmetries and Groupoids","J. Balog, L. Feher, L. Palla"
9910047,1999,Green-Schwarz Superstrings on AdS_3 and the Boundary N=4 Superconformal Algebra,Katsushi Ito
9910048,1999,Non-Abelian Gerbes from Strings on a Branched Space-Time,Jussi Kalkkinen
9910049,1999,S-Duality for Linearized Gravity,J. A. Nieto
9910050,1999,D-Walls and Junctions in Supersymmetric Gluodynamics in the Large N Limit Suggest the Existence of Heavy Hadrons,G. Gabadadze and M. Shifman
9910051,1999,Georgi-Goldstone realization of Chiral Symmetry in Quantum Chromodynamics,R. Acharya
9910052,1999,Multiple Dp-branes in Weak Background Fields,Washington Taylor and Mark Van Raamsdonk
9910053,1999,Dielectric-Branes,R.C. Myers
9910054,1999,Del Pezzo Surfaces and Affine 7-brane Backgrounds,Tamas Hauer and Amer Iqbal
9910055,1999,Two loops in eleven dimensions,"Michael B. Green, Hwang-h. Kwon and Pierre Vanhove (DAMTP, UK)"
9910056,1999,The low energy expansion of the one-loop type II superstring amplitude,"Michael B. Green and Pierre Vanhove (DAMTP, UK)"
9910057,1999,Domain walls junctions from a distance,Daniele Binosi
9910058,1999,A gauge invariant exact renormalization group I,Tim R. Morris
9910059,1999,The antisymmetric tensor propagator in AdS,Iosif Bena
9910060,1999,Causal Quantum Gravity,Nicola Grillo
9910061,1999,Vacuum Geometry,Nathan.F.Lepora
9910062,1999,"(m,n)-Strings In IIB Matrix Model",Shahrokh Parvizi and Amir H. Fatollahi
9910063,1999,Uniqueness of the Thermal Effective Potential,Georgios Metikas
9910064,1999,Large Extra Dimensions and Noncommutative Geometry in String Theory,Farhad Ardalan
9910065,1999,"w_{\infty} Algebras, Conformal Mechanics, and Black Holes","Sergio Cacciatori, Dietmar Klemm and Daniela Zanon"
9910066,1999,Superconformal field theories from IIB spectroscopy on $AdS_5\times T^{11}$,"A. Ceresole, G. Dall'Agata, R. D'Auria and S. Ferrara"
9910067,1999,Killing gauge for the 0-brane on $AdS_2 \times S^2$ coset superspace,M. Kreuzer and Jian-Ge Zhou
9910068,1999,Finite Size Effects in the Anisotropic \lambda/4!(\phi^4_1 + \phi^4_2)_d Model,"C.D.Fosco (Centro At'omico Bariloche), N.F.Svaiter (Centro Brasileiro de Pesquisas F'i sicas-CBPF)"
9910069,1999,Linking observables in perturbed topological field theories,"V.E.R.Lemes, S.P.Sorella, A.Tanzini, O.S.Ventura, L.C.Q.Villar"
9910070,1999,"Non-chiral fusion rules, structure constants of D_m minimal models","A. Rida (USTHB, Alger, Algeria.), T. Sami (SUBATECH, Ecole des Mines de Nantes, France.)"
9910071,1999,BPS Saturated Solitons in N=2 Two-Dimensional Theories on RxS (Domain Walls in Theories with Compactified Dimensions),"Xinrui Hou, A. Losev, and M. Shifman"
9910072,1999,Vacuum effects in an asymptotically uniformly accelerated frame with a constant magnetic field,Victor M. Villalba and Juan Mateu
9910073,1999,"The General Decomposition Theory of SU(2) Gauge Potential, Topological Structure and Bifurcation of SU(2) Chern Density","Yishi Duan, Libin Fu"
9910074,1999,A Proof of the AdS-CFT Correspondence,K.-H. Rehren (Univ. Goettingen)
9910075,1999,Line bundles in supersymmetric coset models,S. Groot Nibbelink
9910076,1999,AdS$_2$/CFT$_1$ correspondence and near-extremal black hole entropy,"J.Navarro-Salas, P.Navarro"
9910077,1999,"Curved branes and cosmological (a,b)-models",Bert Janssen
9910078,1999,The vortex oscillations in Abelian Higgs model,"J. Karkowski (1), Z. Swierczynski (2) ((1)Institute of Physics, Jagellonian University - Krakow, (2)Institute Of physics, Pedagogical
 University - Krakow)"
9910079,1999,Permutation orbifolds,P. Bantay
9910080,1999,Scalar QED $\hbar$-Corrections to the Coulomb Potential,"J.A. Helayel-Neto, A. Penna-Firme and I. L. Shapiro"
9910081,1999,Supergravity Inspired Warped Compactifications and Effective Cosmological Constants,"C. Grojean, J. Cline and G. Servant"
9910082,1999,Comments on Black Holes in String Theory,Gary T. Horowitz
9910083,1999,Noncommutative Geometry and Anyonic Field Theory in the Magnetic Field,"H. W. Lee, Y.S. Myung (Inje University)"
9910084,1999,Topological current of point defects and its bifurcation,"Yishi Duan, Libin Fu and Hong Zhang"
9910085,1999,"Symplectic Dirac-K\""ahler Fields",M. Reuter
9910086,1999,More Ricci-flat branes,JM Figueroa-O'Farrill
9910087,1999,Non-commutative Unification in Brane World,Zurab Kakushadze
9910088,1999,A Candidate for Solvable Large N Lattice Gauge Theory in D>2,Andrey Dubin
9910089,1999,Wilson loops from supergravity and string theory,J. Sonnenschein
9910090,1999,Small Instantons and Weak Scale String Theory,"Karim Benakli, Yaron Oz"
9910091,1999,Non-Commutative Geometry on a Discrete Periodic Lattice and Gauge Theory,I. Bars and D. Minic
9910092,1999,On the Thermodynamics of Large N Noncommutative Super Yang-Mills Theory,Rong-Gen Cai and Nobuyoshi Ohta
9910093,1999,An exotic class of Kaluza-Klein models,Matt Visser (Washington University)
9910094,1999,Continuous Gauge and Supersymmetry Breaking for Open Strings on D-branes,"Ralph Blumenhagen, Costas Kounnas and Dieter Lust"
9910095,1999,An Exact Solution of BPS Domain Wall Junction,"Hodaka Oda, Kenji Ito, Masashi Naganuma, Norisuke Sakai"
9910096,1999,Higher Spin Gauge Theories: Star-Product and AdS Space,Mikhail Vasiliev (Lebedev Physical Institute)
9910097,1999,Spectral Zeta Functions for a Cylinder and a Circle,V.V. Nesterenko and I.G. Pirozhenko
9910098,1999,Baldness/delocalization in intersecting brane systems,A. W. Peet
9910099,1999,"Holography, a covariant c-function, and the geometry of the renormalization group",Vatche Sahakian
9910100,1999,Gauge Spinors and String Duality,Brett McInnes
9910101,1999,Dirac Relation and Renormalization Group Equations for Electric and Magnetic Fine Structure Constants,"L.V. Laperashvili (ITEP, Moscow, Russia), H.B. Nielsen (NBI, Copenhagen, Denmark)"
9910102,1999,Differential equations and integrable models: the SU(3) case,Patrick Dorey and Roberto Tateo
9910103,1999,Modal expansions and non-perturbative quantum field theory in Minkowski space,"Nathan Salwen (Harvard U.), Dean Lee (UMass Amherst)"
9910104,1999,The branch process of the cosmic strings,"Ying Jiang, Yishi Duan"
9910105,1999,Three-Dimensional Gravity with Conformal Scalar and Asymptotic Virasoro Algebra,"Makoto Natsuume (1), Takashi Okamura (2) and Masamichi Sato (3) ((1) KEK, (2) Ochanomizu University, (3) Tokyo Institute of Technology)"
9910106,1999,The Holography Hypothesis in Pre-Big-Bang Cosmology with String Sources,"A. K. Biswas, J. Maharana"
9910107,1999,Stochastic field theory for a Dirac particle propagating in gauge field disorder,"T. Guhr, T. Wilke, and H.A. Weidenmueller"
9910108,1999,"A Numerical Experiment in DLCQ: Microcausality, Continuum Limit and all that","Dipankar Chakrabarti, Asmita Mukherjee, Rajen Kundu, A.Harindranath"
9910109,1999,Dirichlet Branes on Orbifolds,"M. R. Gaberdiel, B. Stefanski Jr"
9910110,1999,Unitary Supermultiplets of OSp(8^*|4) and the AdS_7/CFT_6 Duality,Murat Gunaydin and Seiji Takemae
9910111,1999,Correlation functions for chiral primaries in D=6 Supergravity on $AdS_3 \times S^3$,Mihail Mihailescu
9910112,1999,Classical Wakimoto Realizations of Chiral WZNW Bloch Waves,"J. Balog, L. Feher, L. Palla"
9910113,1999,Weyl anomaly from Weyl gravity,Shin'ichi Nojiri and Sergei D. Odintsov
9910114,1999,QED_2 Light-Front Hamiltonian reproducing all orders of covariant chiral perturbation theory,"S. A. Paston, E. V. Prokhvatilov, V. A. Franke"
9910115,1999,Eisenstein Series in String Theory,N.A. Obers (Nordita and NBI) and B. Pioline (Harvard and LPTHE)
9910116,1999,Euclidean Freedman-Schwarz model,Mikhail S. Volkov
9910117,1999,Non-conformal examples of AdS/CFT,Steven S. Gubser
9910118,1999,Instantons in N=4 Sp(N) and SO(N) theories and the AdS/CFT correspondence,"Timothy J. Hollowood, Valentin V. Khoze and Michael P. Mattis"
9910119,1999,Kostant's cubic Dirac operator of Lie Superalgebras,Teparksorn Pengpan (U. of Florida)
9910120,1999,Renormalization of QCD Coupling Constant in Terms of Physical Quantities,"G.Sh.Japaridze, K.Sh.Turashvili"
9910121,1999,A Note concerning Subsingular Vectors and Embedding Diagrams of the N=2 Superconformal Algebras,Beatriz Gato-Rivera (IMAFF-CSIC)
9910122,1999,Self-Gravitating Strings and String/Black Hole Correspondence,Ramzi R. Khuri
9910123,1999,"Free harmonic oscillators, Jack polynomials and Calogero-Sutherland systems",N. Gurappa and Prasanta K. Panigrahi
9910124,1999,Holographic Counterterm Actions and Anomalies for Asymptotic AdS and Flat Spaces,Jeongwon Ho
9910125,1999,New S-dualities in N=2 supersymmetric SU(2) x SU(2) gauge theory,Philip C. Argyres and Alex Buchel
9910126,1999,D1D5 System and Noncommutative Geometry,Andrei Mikhailov
9910127,1999,Canonical Quantization of Chern-Simons on the Light-Front,L. R. U. Manssur
9910128,1999,Perturbation theory in radial quantization approach and the expectation values of exponential fields in sine-Gordon model,"V.V.Mkhitaryan, R.H.Poghossian, T.A.Sedrakyan"
9910129,1999,Instantons and Chiral Anomaly in Fuzzy Physics,"A. P. Balachandran (1) and S. Vaidya (2) ((1) Syracuse University, (2)Tata Institute)"
9910130,1999,A Self-Dual Model for the SU(2) Gauge Theory,Gh. Zet and M. C. Neacsu
9910131,1999,The century of the incomplete revolution: searching for general relativistic quantum field theory,Carlo Rovelli
9910132,1999,Solving the Hierarchy Problem with Noncompact Extra Dimensions,Andrew G. Cohen and David B. Kaplan
9910133,1999,On Nonlinear Gauge Theory from a Deformation Theory Perspective,K.-I. Izawa
9910134,1999,Diffeomorphisms and Weyl transformations in AdS_3 gravity,Karin Bautier
9910135,1999,Deformed Nahm Equation and a Noncommutative BPS Monopole,Dongsu Bak
9910136,1999,"Symmetry Realization, Poisson Kernel and the AdS/CFT Correspondence",Zhe Chang and Han-Ying Guo
9910137,1999,Effective Action for an SU(2) Gauge Model with a Vortex,V.Ch.Zhukovsky
9910138,1999,A Path Integral Representation of the Map between Commutative and Noncommutative Gauge Fields,Kazumi Okuyama (KEK)
9910139,1999,Degeneracy of zero modes of the Dirac operator in three dimensions,"C. Adam, B. Muratori, C. Nash"
9910140,1999,On possibility of Decoherence due to Relativistic Effect,B. Carazza
9910141,1999,Closed Path Integrals and Renormalisation in Quantum Mechanics,"H. Jirari, H. Kr\""{o}ger, X.Q. Luo, K.J.M. Moriarty, and S.G. Rubin"
9910142,1999,Use of Physical Variables in the Chern-Simons Theories,Mu-In Park
9910143,1999,"Anomaly cancellation in D=4, N=1 orientifolds and linear/chiral multiplet duality",Matthias Klein
9910144,1999,Fivebrane instantons and higher derivative couplings in type I theory,"Amine B. Hammou (SISSA,Trieste,Italy), Jose F. Morales (INFN,Sezione di ""Tor Vergata"",Roma,Italy)"
9910145,1999,Quantization of Superstrings in Ramond-Ramond Backgrounds,David Berenstein and Robert G. Leigh
9910146,1999,Holography in a quantum spacetime,Fotini Markopoulou and Lee Smolin
9910147,1999,One-loop Regularization of Supergravity II: The Dilaton and the Superfield Formulation,Mary K. Gaillard
9910148,1999,Integers in the open string,T. Gannon
9910149,1999,Dynamics of Anti-de Sitter Domain Walls,Per Kraus
9910150,1999,Extremal correlators in four-dimensional SCFT,"B. Eden, P.S. Howe, C. Schubert, E. Sokatchev, P.C. West"
9910151,1999,Winding Number Transitions in the Mottola-Wipf Model on a Circle,"D. K. Park, H. J. W. M\""{u}ller-Kirsten, J. -Q. Liang"
9910152,1999,Physical equivalence on non-standard space and symmetries on infinitesimal- lattice spaces,Tsunehiro Kobayashi
9910153,1999,Conformal Transformation Properties of the B-type Supercurrent,Christian Rupp
9910154,1999,Casimir energy of massive MIT fermions in a Bohm-Aharonov background,"C. G. Beneventano, M. De Francia, K. Kirsten and E. M. Santangelo"
9910155,1999,A New Orientifold of C^2/Z_N and Six-dimensional RG Fixed Points,Angel M. Uranga
9910156,1999,An Introduction to Conformal Field Theory,Matthias R Gaberdiel
9910157,1999,Canonical Formulation of the Light-Front Gluodynamics and Quantization of the Non-Abelian Plane Waves,"Victor T. Kim (PNPI, St.Petersburg & IITAP, Ames), Victor A. Matveev (INR, Moscow), Grigorii B. Pivovarov (INR, Moscow & IITAP, Ames) and James P.
 Vary (IITAP & Iowa State, Ames)"
9910158,1999,Comments on `` Black Hole Entropy from Conformal Field Theory in Any Dimension '',Mu-In Park and Jeongwon Ho
9910159,1999,Limits of the D-brane action,"Ulf Lindstrom, Maxim Zabzine (Stockholm U.) and Aleksandr Zheltukhin (Stockholm U. and Kharkov IPT)"
9910160,1999,(Super)conformal many-body quantum mechanics with extended supersymmetry,Niclas Wyllard
9910161,1999,Towards supersymmetric cosmology in M theory,Krzysztof A. Meissner and Marek Olechowski
9910162,1999,Partially embedding of the quantum mechanical analog of the nonlinear sigma model,"R. Amorim, J. Barcelos-Neto and C. Wotzasek"
9910163,1999,Particles and Strings in Degenerate Metric Spaces,Luis A. Cabral and Victor O. Rivelles
9910164,1999,A nonsupersymmetric matrix orbifold,"Tom Banks, Lubos Motl"
